gpu,gpu_full_name,kernel,seq_len,head_dim,duration_mean_ns,duration_std_ns,duration_median_ns,duration_min_ns,duration_max_ns,kernels_per_iter,data_source,grid_x,grid_y,grid_z,block_x,block_y,block_z,registers_per_thread,static_shared_mem_bytes,dynamic_shared_mem_bytes,memcpy_h2d_bytes,memcpy_h2d_duration_ns,memcpy_d2h_bytes,memcpy_d2h_duration_ns
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,4096,64,204399.25,1077.20739707625,203951.0,203168.0,206208.0,1.0,kernel_table,64.0,1.0,1.0,32.0,4.0,1.0,118.0,0.0,18944.0,31457280.0,642623.0,10485760.0,202399.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,512,128,14300.7,23.04252361910132,14304.0,14271.0,14336.0,1.0,kernel_table,8.0,1.0,1.0,128.0,1.0,1.0,192.0,0.0,40960.0,7864320.0,219102.0,2621440.0,55680.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,512,128,11113.6,78.45239924545596,11088.0,11008.0,11264.0,2.0,kernel_table,8.0,4.0,1.0,128.0,1.0,1.0,204.0,0.0,81920.0,7864320.0,216896.0,2621440.0,54592.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,512,128,44115.05,174.6998855179934,44128.0,43840.0,44384.0,15.0,kernel_table,128.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,7864320.0,217472.0,2621440.0,54976.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,512,128,31649.55,40.92673170949584,31648.0,31583.0,31712.0,1.0,kernel_table,8.0,1.0,1.0,32.0,8.0,1.0,122.0,0.0,52224.0,7864320.0,217312.0,2621440.0,54720.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,512,64,14278.4,41.006289633099996,14272.0,14240.0,14368.0,1.0,kernel_table,4.0,1.0,1.0,128.0,1.0,1.0,247.0,0.0,40960.0,3932160.0,186816.0,1310720.0,32256.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,512,64,9838.4,73.02659933562781,9824.0,9728.0,10016.0,2.0,kernel_table,8.0,2.0,1.0,128.0,1.0,1.0,236.0,0.0,73728.0,3932160.0,186592.0,1310720.0,31776.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,512,64,42097.5,138.64095999910592,42096.0,41856.0,42336.0,15.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,3932160.0,186848.0,1310720.0,32480.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,512,64,27446.35,57.94850254638528,27456.0,27328.0,27552.0,1.0,kernel_table,8.0,1.0,1.0,32.0,4.0,1.0,118.0,0.0,18944.0,3932160.0,186720.0,1310720.0,31840.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,8192,128,194418.75,1028.3595968951306,194176.0,192832.0,196256.0,1.0,kernel_table,128.0,1.0,1.0,128.0,1.0,1.0,192.0,0.0,40960.0,125829120.0,2865978.0,41943040.0,772991.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,8192,128,213261.95,872.0585732983524,213471.5,212064.0,214528.0,2.0,kernel_table,128.0,5.0,1.0,128.0,1.0,1.0,204.0,0.0,81920.0,125829120.0,2850141.0,41943040.0,776640.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,8192,128,2075621.25,3221.3939917371176,2076106.0,2068090.0,2081530.0,14.0,kernel_table,2048.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,125829120.0,2833879.0,41943040.0,777152.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,8192,128,473511.55,1576.4769006937756,473295.5,471456.0,477727.0,1.0,kernel_table,128.0,1.0,1.0,32.0,8.0,1.0,122.0,0.0,52224.0,125829120.0,2843580.0,41943040.0,769599.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,cudnn,8192,64,192527.7,908.262082510503,192416.0,190975.0,194335.0,1.0,kernel_table,64.0,1.0,1.0,128.0,1.0,1.0,247.0,0.0,40960.0,62914560.0,1192444.0,20971520.0,381280.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,flash,8192,64,101399.75,335.55764662800686,101296.0,100992.0,102112.0,2.0,kernel_table,128.0,5.0,1.0,128.0,1.0,1.0,236.0,0.0,73728.0,62914560.0,1191840.0,20971520.0,386495.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,math,8192,64,1806736.15,3799.799873885327,1807117.0,1800573.0,1812797.0,14.0,kernel_table,1024.0,1.0,1.0,128.0,1.0,1.0,32.0,0.0,0.0,62914560.0,1199678.0,20971520.0,387392.0
g4,NVIDIA RTX PRO 6000 Blackwell Server Edition,mea,8192,64,407830.05,1960.9356916640854,407520.0,405056.0,411360.0,1.0,kernel_table,128.0,1.0,1.0,32.0,4.0,1.0,118.0,0.0,18944.0,62914560.0,1191903.0,20971520.0,382495.0
